Player,Innings,Runs,Average,Strike Rate,Z_Runs,Z_Average,Z_Strike Rate,Overall_Score
V Kohli,70.0,2633.0,52.66,138.07,2.8769725547145564,3.564581391224737,0.8044946201569675,2.415349522032087
AJ Finch,58.0,1878.0,38.32,156.5,1.476859794490971,1.6825226939276803,2.1802420351369562,1.7798748411852023
GJ Maxwell,54.0,1576.0,35.02,160.0,0.9168146904015367,1.2494129518718724,2.4415071437875238,1.5359115953536442
RG Sharma,96.0,2633.0,32.1,138.21,2.8769725547145564,0.8661764528406721,0.8149452245029913,1.5193647440194067
MJ Guptill,80.0,2436.0,33.36,134.58,2.5116451192654883,1.0315456270801624,0.5439759832454031,1.3623889098636845
C Munro,57.0,1546.0,30.92,160.04,0.8611810707900036,0.7113069087116256,2.4444930307435295,1.3389936700817195
BB McCullum,70.0,2140.0,35.66,136.21,1.962726739098361,1.3334099927554222,0.665650876702667,1.3205958695188165
KL Rahul,31.0,1138.0,43.76,146.46,0.10456384407315213,2.396497541437861,1.430784409179329,1.3106152648967804
Babar Azam,36.0,1405.0,50.17,127.49,0.5997030586157975,3.2377804040371734,0.014727520293252166,1.284070327648741
DA Warner,76.0,2079.0,30.57,140.85,1.8496050458882434,0.6653710269784336,1.0120137635994184,1.1756632788220318
JP Duminy,75.0,1934.0,38.68,126.24,1.5807092177658328,1.7297710294246773,-0.07858144708195051,1.0772996000361865
CH Gayle,54.0,1627.0,32.54,142.84,1.0113918437411433,0.9239244184481129,1.1605616396607417,1.0319593006166659
EJG Morgan,84.0,2002.0,29.88,135.72,1.7068120888853082,0.5748117172758554,0.6290737614915869,0.9702325225509167
Mohammad Shahzad,65.0,1936.0,31.22,134.81,1.5844181257399352,0.7506805216257897,0.5611448332424396,0.9654144935360547
PR Stirling,71.0,1929.0,29.67,137.68,1.5714369478305774,0.5472501882359407,0.7753822223359053,0.964689786134141
KP Pietersen,36.0,1176.0,37.93,141.51,0.17503309558109417,1.6313369971392664,1.0612808983735251,0.9558836636979618
Shoaib Malik,104.0,2263.0,30.58,124.06,2.190824579505647,0.6666834807422389,-0.24131228618430342,0.8720652580211942
SR Watson,56.0,1462.0,29.24,145.32,0.7054069358777106,0.4908146763923047,1.345686630933143,0.8473027477343861
MS Dhoni,85.0,1617.0,37.6,126.13,0.9928473038706321,1.5880260229336858,-0.0867926362109683,0.8313602301977832
F du Plessis,44.0,1363.0,35.86,135.48,0.521815991159651,1.3596590680315321,0.6111584397555473,0.8308778329822435
AD Hales,60.0,1644.0,31.01,136.65,1.042917561521012,0.723118992585875,0.6984956332187382,0.8215107291085416
