Player,Inns,Wkts,Ave,Econ,SR,Z_Wkts,Z_Ave,Z_Econ,Z_SR,Overall_Score
M Muralitharan,341.0,534.0,23.08,3.93,35.2,5.787301312709101,-1.1260417519483605,-1.4331219838304572,-0.7610465581200653,2.276877901651996
Wasim Akram,351.0,502.0,23.52,3.89,36.2,5.368275472839375,-1.0831037032737323,-1.501265756257998,-0.6699009741399613,2.155636476627767
GD McGrath,248.0,381.0,22.02,3.88,34.0,3.783834015831977,-1.22948341466451,-1.5183016993648837,-0.8704212588961904,1.8505100971893902
SM Pollock,297.0,393.0,24.5,3.67,39.9,3.9409687057831237,-0.987468958498424,-1.8760565046094722,-0.3326623134135767,1.7842891205761493
Waqar Younis,258.0,416.0,23.84,4.68,30.5,4.242143528189489,-1.0518760315103661,-0.15542625081407008,-1.1894308028265546,1.6597191533351199
B Lee,217.0,380.0,23.36,4.76,29.4,3.770739458336048,-1.0987175391554151,-0.01913870595898856,-1.2896909452046692,1.5445716621637804
WPUJC Vaas,320.0,400.0,27.53,4.18,39.4,4.032630608254626,-0.6917819414890526,-1.0072234061583287,-0.3782351054036287,1.5274677653264093
Saqlain Mushtaq,165.0,288.0,21.78,4.29,30.4,2.5660401687105883,-1.2529041684870343,-0.8198280319825912,-1.1985453612245651,1.4593294326011947
AA Donald,162.0,272.0,21.78,4.15,31.4,2.3565272487757256,-1.2529041684870343,-1.0583312354789831,-1.107399777244461,1.443790607496551
J Garner,98.0,146.0,18.84,3.09,36.5,0.7066130042886828,-1.539808402812959,-2.864141204808812,-0.6425572989459303,1.4382799777140962
CEL Ambrose,175.0,225.0,24.12,3.48,41.5,1.7410830464670666,-1.024551818717421,-2.1997394236402905,-0.18682937904541008,1.288050916967547
Sir RJ Hadlee,112.0,158.0,21.56,3.3,39.1,0.8637476942398297,-1.2743731928243487,-2.506386399564224,-0.40557878059765967,1.2625215168065154
SK Warne,191.0,293.0,25.73,4.25,36.3,2.6315129561902326,-0.8674375951579861,-0.887971804410132,-0.6607864157419514,1.2619271928750755
MA Holding,102.0,142.0,21.36,3.32,38.5,0.6542347743049671,-1.2938904876764523,-2.4723145133504536,-0.4602661309857222,1.220176476579399
Rashid Khan,67.0,133.0,18.54,4.16,26.7,0.5363837568416069,-1.5690843450911147,-1.0412952923720984,-1.53578402195095,1.1706368540639425
M Ntini,171.0,266.0,24.65,4.53,32.6,2.277959903800152,-0.9728309873593464,-0.4109653974173468,-0.9980250764683359,1.1649453412612953
J Srinath,227.0,315.0,28.08,4.44,37.8,2.9195932211006688,-0.6381093806457677,-0.5642888853793131,-0.5240680397717953,1.1615148817243863
N Kapil Dev,221.0,253.0,27.45,3.71,44.2,2.107730656353076,-0.6995888594298942,-1.8079127321819315,0.059263697700871074,1.1389921375660077
A Kumble,265.0,337.0,30.89,4.3,43.0,3.207673486011105,-0.3638913879737103,-0.8027920888757064,-0.05011100307525403,1.106116991483944
Saeed Ajmal,112.0,184.0,22.72,4.18,32.6,1.2042061891339815,-1.161172882682147,-1.0072234061583287,-0.9980250764683359,1.0926568886106982
AME Roberts,56.0,87.0,20.35,3.4,35.8,-0.0659658879711231,-1.392452826679576,-2.336026968495372,-0.7063592077320034,1.092218278733957
DK Lillee,63.0,103.0,20.82,3.58,34.8,0.1435470319637395,-1.3465871837771322,-2.0293799925714384,-0.7975047917121074,1.0792547500061045
CJ McDermott,138.0,203.0,24.71,4.03,36.7,1.4530027815566307,-0.966975798903715,-1.2627625527616053,-0.6243281821499093,1.076767328842965
SE Bond,80.0,147.0,20.88,4.28,29.2,0.7197075617846117,-1.3407319953215013,-0.8368639750894761,-1.3079200620006899,1.0513058985490698
Shahid Afridi,372.0,395.0,34.51,4.62,44.7,3.9671578207749816,-0.010628351150633345,-0.25764190945538046,0.1048364896909231,1.0326478979225182
Shoaib Akhtar,162.0,247.0,24.97,4.76,31.4,2.029163311377503,-0.9416033155959803,-0.01913870595898856,-1.107399777244461,1.0243262775442332
D Gough,156.0,235.0,26.42,4.39,36.0,1.8720286214263557,-0.8001029279182281,-0.6494686009137401,-0.6881300909359823,1.0024325602985766
DL Vettori,277.0,305.0,31.71,4.12,46.0,2.7886476461413796,-0.28387047908008506,-1.109439064799639,0.2233257488650581,0.9896578602890114
MG Johnson,150.0,239.0,25.26,4.83,31.3,1.9244068514100714,-0.9133032380604297,0.10011289578920814,-1.1165143356424712,0.963527882330941
SL Malinga,220.0,338.0,28.87,5.35,32.3,3.2207680435070336,-0.5610160659799578,0.9859819373472364,-1.0253687516623675,0.9552927309505306
Imran Khan,153.0,182.0,26.61,3.89,40.9,1.1780170741421236,-0.7815614978087299,-1.501265756257998,-0.24151672943347266,0.925590264410581
AB Agarkar,188.0,288.0,27.85,5.07,32.9,2.5660401687105883,-0.6605542697256866,0.5089755303544526,-0.970681401274305,0.9220750773390318
NW Bracken,116.0,174.0,24.36,4.41,33.0,1.0732606141746923,-1.0011310648948966,-0.615396714699969,-0.9615668428762945,0.9128388091614631
MA Starc,85.0,172.0,20.99,5.02,25.0,1.0470714991828345,-1.3299974831528443,0.4237958148200256,-1.6907315147171267,0.9110011705581951
KD Mills,169.0,240.0,27.02,4.72,34.2,1.9375014089060003,-0.7415510433619172,-0.08728247838652932,-0.8521921421001694,0.9046317681886541
