Player,Inns,Wkts,Ave,Econ,SR,Z_Wkts,Z_Ave,Z_Econ,Z_SR,Overall_Score
Rashid Khan,45.0,84.0,12.52,6.15,12.2,2.103800561238178,-2.0250864529217547,-1.5148975404154068,-1.8818544316826298,1.8814097465644923
BAW Mendis,39.0,66.0,14.42,6.45,13.4,1.125203436062928,-1.7033693495329902,-1.1367396839354957,-1.587072892662822,1.3880963405485591
Saeed Ajmal,63.0,85.0,17.83,6.36,16.8,2.158167068192358,-1.1259718113457866,-1.2501870408794689,-0.7518585321067004,1.3215461131310786
SL Malinga,79.0,106.0,19.44,7.23,16.1,3.29986371423015,-0.8533588974216225,-0.15352925708772608,-0.9238144298682546,1.3076415746519383
Umar Gul,60.0,85.0,16.97,7.19,14.1,2.158167068192358,-1.271591131827017,-0.20395030461838096,-1.4151169949012679,1.262206374884756
Imran Tahir,38.0,63.0,15.04,6.73,13.4,0.9621039152003863,-1.5983879789534987,-0.7837923512209116,-1.587072892662822,1.2328392845094047
Shakib Al Hasan,75.0,92.0,20.58,6.81,18.1,2.538732616871622,-0.6603286353883643,-0.6829502561596029,-0.4325118648352419,1.0786308433137077
RE van der Merwe,42.0,54.0,17.37,6.28,16.5,0.47280535261276135,-1.2038612153241188,-1.3510291359407787,-0.8255539168616525,0.9633124051848279
GP Swann,38.0,51.0,16.84,6.36,15.8,0.3097058317502197,-1.2936033546904586,-1.2501870408794689,-0.9975098146232066,0.9627515104858385
DW Steyn,44.0,61.0,17.5,6.79,15.4,0.8533709012920252,-1.1818489924606772,-0.7081607799249298,-1.0957703276298094,0.9597877503268605
GH Dockrell,69.0,75.0,20.52,6.95,17.7,1.6145019986505529,-0.6704881228637987,-0.5064765898023103,-0.530772377841845,0.8305597722896267
Shahid Afridi,97.0,98.0,24.44,6.63,22.1,2.8649316585967055,-0.006734941135399889,-0.9098449700475494,0.5500932652307835,0.8078545761372179
Bilal Khan,31.0,45.0,17.28,7.0,14.8,-0.016493209974863598,-1.2191004465372708,-0.4434502803889919,-1.2431610971397131,0.7223046535227781
Mudassar Bukhari,35.0,43.0,18.13,6.64,16.3,-0.12522622388322469,-1.0751743739686133,-0.8972397081648859,-0.8746841733649535,0.680468007903807
S Badree,52.0,56.0,21.07,6.17,20.4,0.5815383665211225,-0.5773594876723142,-1.48968701665008,0.13248608495272196,0.6290246964726987
Mohammad Amir,48.0,59.0,20.74,6.96,17.8,0.7446378873836641,-0.6332366687872051,-0.49387132791964683,-0.506207249590194,0.5944882834201776
KJ O'Brien,51.0,58.0,19.55,7.53,15.5,0.6902713804294835,-0.8347331703833257,0.224628599392185,-1.0712051993781588,0.5928952876996958
MJ Santner,38.0,49.0,18.93,7.2,15.7,0.2009728178418586,-0.9397145409628175,-0.19134504273571754,-1.0220749428748577,0.5885268361038127
JJ Bumrah,42.0,51.0,20.17,6.71,18.0,0.3097058317502197,-0.729751799803834,-0.8090028749862396,-0.4570769930868929,0.5763843749067965
SP Narine,49.0,52.0,21.25,6.01,21.1,0.36407233870440026,-0.5468810252460101,-1.6913712067726994,0.30444198271427714,0.5744706470022082
DL Vettori,34.0,38.0,19.68,5.7,20.7,-0.39705875865412743,-0.8127209475198841,-2.082134325135274,0.20618146970767406,0.5729037610733392
