Player,Innings,Runs,Average,Strike Rate,Z_Runs,Z_Average,Z_Strike Rate,Overall_Score
SR Tendulkar,452.0,18426.0,44.83,86.23,6.3424159660852455,1.7420162592052677,0.8233033064633389,2.969245177251284
V Kohli,233.0,11609.0,59.84,93.28,3.665807108748479,3.116621012625956,1.3344812654238287,2.705636462266088
AB de Villiers,218.0,9577.0,53.5,101.09,2.8679680009139026,2.5360084785362047,1.900764933435379,2.434913804295162
MS Dhoni,297.0,10773.0,50.57,87.56,3.337562278950396,2.267681234863812,0.9197382973026936,2.174993937038967
KC Sangakkara,380.0,14234.0,41.98,78.86,4.696480168820213,1.4810153566570359,0.2889229436918759,2.1554728230563747
RT Ponting,365.0,13704.0,42.03,80.39,4.488382370024778,1.4855943198596366,0.3998594369130887,2.1246120422658343
ST Jayasuriya,433.0,13430.0,32.36,91.2,4.3807997344211,0.6000228364766885,1.183665640652507,2.0548294038500985
RG Sharma,214.0,8944.0,49.14,88.88,2.6194285544280334,2.1367228872694364,1.0154482130229552,1.9238665515734747
HM Amla,178.0,8113.0,49.46,88.39,2.2931469114110388,2.16602825176608,0.9799195321874037,1.8130315651215072
AC Gilchrist,279.0,9619.0,35.89,96.94,2.8844587698750503,0.923297638580288,1.5998587590118276,1.802538389155722
V Sehwag,245.0,8273.0,35.05,104.33,2.355968888405887,0.8463710567765984,2.135689272021476,1.7793430724013204
JC Buttler,117.0,3843.0,40.88,119.83,0.6165854003610178,1.380278166199824,3.2595557066154615,1.7521397577254343
CH Gayle,294.0,10480.0,37.83,87.19,3.2225195335785792,1.1009614108411896,0.8929105178962562,1.7387971541053415
JH Kallis,314.0,11579.0,44.36,72.89,3.6540279880619453,1.6989740051008226,-0.14394690240658164,1.7363516969187287
TM Dilshan,303.0,10290.0,39.27,86.23,3.1479184358971968,1.232835551076086,0.8233033064633389,1.7346857644788738
Shahid Afridi,369.0,8064.0,23.57,117.0,2.2739076809563663,-0.20495889454048966,3.0543594479121725,1.707769411442683
DPMD Jayawardene,418.0,12650.0,33.37,78.96,4.074542596571213,0.6925178931692196,0.2961736948828044,1.6877447282077456
LRPL Taylor,212.0,8376.0,47.86,83.0,2.396410536096321,2.0195014292828617,0.5891040429963339,1.6683386694585056
Inzamam-ul-Haq,350.0,11739.0,39.52,74.24,3.716849965056794,1.255730367089089,-0.04606176132904139,1.642172856938947
SC Ganguly,300.0,11363.0,41.02,73.7,3.5692183191188995,1.3930992631671055,-0.08521581776005707,1.625700588175316
BC Lara,289.0,10405.0,40.48,79.51,3.193071731862244,1.343646460579019,0.33605282643291434,1.6242570062913921
IVA Richards,167.0,6721.0,47.0,90.2,1.7465957115558561,1.9407432621981322,1.1111581287432175,1.599499034165735
JE Root,135.0,5856.0,51.36,87.37,1.406964398427456,2.3400288534649007,0.9059618700399288,1.5509850406440953
EJG Morgan,217.0,7348.0,39.71,91.24,1.992779333904419,1.2731304272589707,1.186565941128878,1.4841585674307558
Yuvraj Singh,278.0,8701.0,36.55,87.67,2.524017676867107,0.9837399528546151,0.9277141236127154,1.4784905844448124
RN ten Doeschate,32.0,1541.0,67.0,87.7,-0.28726579365236565,3.7723285432383555,0.9298893489699942,1.4716506995186611
Mohammad Yousuf,273.0,9720.0,41.71,75.1,2.9241151428530485,1.4562889553629932,0.016294698912947433,1.465566265709663
DA Warner,114.0,4990.0,45.77,95.55,1.0669404479428384,1.8281007674141587,1.4990733174579154,1.4647048442716373
S Dhawan,131.0,5518.0,44.5,94.01,1.2742529720258386,1.7117951020681041,1.3874117491176103,1.4578199410705177
JM Bairstow,68.0,2861.0,47.68,104.07,0.2310155165551349,2.0030171617534998,2.1168373189250604,1.4502899990778984
GJ Maxwell,100.0,2877.0,32.32,123.37,0.23729771425461973,0.5963596659146081,3.516232298774346,1.4499632263145248
JJ Roy,81.0,3381.0,42.79,107.4,0.4351869417883927,1.555194560539165,2.3582873335829952,1.4495562786368508
R Dravid,318.0,10889.0,39.16,71.24,3.3831082122716607,1.2227618320303641,-0.2635842970569095,1.4474285824150381
MG Bevan,196.0,6912.0,53.58,74.16,1.8215894465934568,2.5433348196603656,-0.05186236228178442,1.4376873013240126
Q de Kock,115.0,4907.0,45.01,95.2,1.0343515473767606,1.7585005267346299,1.4736956882896646,1.4221825874670184
MJ Clarke,223.0,7981.0,44.58,78.98,2.2413187803902885,1.719121443192265,0.29762384512099094,1.4193546895678482
F du Plessis,136.0,5507.0,47.47,88.6,1.2699339611074427,1.9837855163025773,0.995146109688354,1.4162885290327913
Saeed Anwar,244.0,8824.0,39.21,80.67,2.572312071681897,1.2273407952329651,0.4201615402476898,1.406604802387517
MEK Hussey,157.0,5442.0,48.15,87.16,1.2444125329532856,2.046059415857945,0.8907352925389774,1.393735747116736
MJ Guptill,176.0,6626.0,42.2,87.34,1.709295162715165,1.5011627947484787,0.90378664468265,1.3714148673820978
KS Williamson,142.0,6132.0,47.9,81.82,1.51533230874357,2.023164599844942,0.5035451789433719,1.3473473625106278
PA de Silva,296.0,9284.0,34.9,81.13,2.7529252555420864,0.8326341671687968,0.45351499572596243,1.3463581394789483
Babar Azam,72.0,3359.0,54.17,87.08,0.426548919951601,2.5973665854510526,0.8849346915862344,1.3029500656629625
SR Watson,169.0,5757.0,40.54,90.44,1.3680933001618936,1.34914121642214,1.1285599316014467,1.2819314827284933
HH Gibbs,240.0,8094.0,36.13,83.26,2.2856868016429,0.9452766619527709,0.6079559960927495,1.2796398198961403
ME Waugh,236.0,8500.0,39.35,76.9,2.4450975682673284,1.2401618922002469,0.14680822034966914,1.2773558936057483
M Azharuddin,308.0,9378.0,36.92,74.02,2.78983316702656,1.0176242805538598,-0.06201341394908497,1.2484813445437783
S Chanderpaul,251.0,8778.0,41.6,70.74,2.554250753295878,1.446215236317272,-0.2998380530115542,1.2335426455338652
A Symonds,161.0,5088.0,39.75,92.44,1.105418908852183,1.2767935978210512,1.2735749554200255,1.2185958206977532
AD Russell,47.0,1034.0,27.21,130.22,-0.486332933254792,0.12838962660883108,4.012908755352978,1.2183218162356722
AD Mathews,184.0,5812.0,42.73,83.33,1.3896883547538728,1.5496998046960442,0.6130315219263993,1.1841398937921055
SK Raina,194.0,5615.0,35.31,93.5,1.3123387955789654,0.8701816654301218,1.3504329180438723,1.1776511263509866
BB McCullum,228.0,6083.0,30.41,96.37,1.4960930782888975,0.4214432715752668,1.5585294772235332,1.1586886090292325
ML Hayden,155.0,6133.0,43.8,78.96,1.5157249460997877,1.6476896172316962,0.2961736948828044,1.1531960860714292
Imad Wasim,39.0,952.0,41.39,109.67,-0.5185291964646519,1.4269835908663495,2.5228793856170815,1.1437779266729264
GC Smith,194.0,6989.0,37.98,80.81,1.8518225230222276,1.114698300448991,0.43031259191499033,1.1322778051287363
Shoaib Malik,258.0,7534.0,34.55,81.9,2.0658098821609303,0.8005814247505928,0.509345779896116,1.1252456956025463
DA Miller,110.0,3058.0,38.7,100.13,0.3083650757300421,1.1806353705664396,1.8311577220024606,1.1067193894329808
AJ Finch,115.0,4559.0,40.34,89.51,0.8977137474129651,1.330825363611738,1.061127945525808,1.096555685516837
Shakib Al Hasan,194.0,6323.0,37.86,82.75,1.5903260437811704,1.10370878876275,0.5709771650190115,1.0883373325209773
Fakhar Zaman,46.0,1958.0,46.61,95.23,-0.12353601610954161,1.9050273492178478,1.4758709136469432,1.085787415585083
G Gambhir,143.0,5238.0,39.68,85.25,1.1643145122848535,1.2703830493374104,0.752245944792235,1.0623145021381664
A Ranatunga,255.0,7456.0,35.84,77.9,2.0351841683759417,0.9187186753776878,0.2193157322589585,1.0577395253375292
SO Hetmyer,40.0,1416.0,38.27,107.02,-0.3363454631795911,1.141256287024075,2.3307344790574644,1.045215100967316
KM Jadhav,50.0,1354.0,42.31,102.18,-0.36068897926509486,1.5112365137941999,1.9797981214165046,1.0434485519818697
DL Haynes,237.0,8648.0,41.37,63.09,2.5032078969875635,1.425152005585309,-0.8545205191176173,1.0246131278184185
KP Pietersen,125.0,4440.0,40.73,86.58,0.8509899020230465,1.3665412765920217,0.8486809356315898,1.022070704748886
DM Jones,161.0,6068.0,44.61,72.56,1.4902035179456303,1.7218688211138253,-0.167874381336647,1.0147326525742695
MS Atapattu,259.0,8529.0,37.57,67.72,2.456484051597645,1.0771508021876668,-0.5188107389776079,1.004941371602568
L Klusener,137.0,3576.0,41.1,89.91,0.5117512262508643,1.4004256042912664,1.0901309502895233,1.000769260277218
RR Sarwan,169.0,5804.0,42.67,75.74,1.3865472559041303,1.544205048852924,0.06269950653489267,0.9978172704306489
G Kirsten,185.0,6798.0,40.95,72.04,1.7768287879846272,1.3866887146834648,-0.20557828752947718,0.9859797383795381
Tamim Iqbal,202.0,6892.0,35.52,77.74,1.8137366994691007,0.8894133108810441,0.20771453035347143,0.9702881802345387
BA Stokes,81.0,2682.0,40.63,93.94,0.16073342979214805,1.3573833501868213,1.3823362232839596,0.9668176677543097
Javed Miandad,218.0,7381.0,41.7,67.01,2.0057363666596064,1.4553731627224733,-0.5702910724332029,0.9636061523162924
SPD Smith,104.0,3810.0,41.41,86.31,0.6036283676058303,1.4288151761473893,0.8291039074160819,0.953849150389767
Zaheer Abbas,60.0,2572.0,47.62,84.8,0.11754332060818969,1.9975224059103789,0.7196175644330546,0.9448944303172078
JP Duminy,179.0,5117.0,36.81,84.55,1.1168053921824994,1.0075505615081386,0.7014906864557322,0.9419488800487901
HH Pandya,38.0,957.0,29.9,115.57,-0.5165660096835628,0.37473784690874096,2.950673705881888,0.9362818477023553
SR Waugh,288.0,7569.0,32.9,75.91,2.0795521896285534,0.6494756390647745,0.075025783559472,0.9346845374175998
DR Martyn,182.0,5346.0,40.8,77.73,1.2067193467563764,1.3729518250756627,0.2069894552343792,0.928886875688806
Mushfiqur Rahim,202.0,6100.0,36.3,79.03,1.5027679133446001,0.9608451368416123,0.30124922071645516,0.9216207569675557
Imam-ul-Haq,37.0,1723.0,53.84,80.47,-0.2158057948207254,2.567145428313889,0.4056600378658317,0.9189998904529983
JN Rhodes,220.0,5935.0,35.11,80.9,1.4379827495686626,0.8518658126197193,0.4368382679868266,0.9088956100584027
SD Hope,67.0,3007.0,52.75,74.32,0.28834057056293416,2.4673240304971964,-0.040261160376298365,0.905134480227944
IJL Trott,65.0,2819.0,51.25,77.06,0.21452474759398713,2.32995513441918,0.1584094222551552,0.900963101422774
Saleem Malik,256.0,7170.0,32.88,76.41,1.92288988449765,0.6476440537837346,0.11127953951411668,0.8939378259318338
Ijaz Ahmed,232.0,6564.0,32.33,80.3,1.684951646629661,0.5972754585551281,0.3933337608412524,0.8918536220086805
AD Hales,67.0,2419.0,37.79,95.72,0.057469805106865765,1.0972982402791092,1.5113995944824947,0.8887225466228231
Misbah-ul-Haq,149.0,5122.0,43.4,73.75,1.1187685789635884,1.6110579116108918,-0.08159044216459281,0.8827453494699624
WU Tharanga,223.0,6951.0,33.74,75.92,1.836902303485951,0.7264022208684642,0.07575085867856525,0.87968512767766
A Flower,208.0,6786.0,35.34,74.59,1.7721171397100135,0.8729290433516822,-0.02068413216078949,0.874787350300302
SP Fleming,269.0,8037.0,32.4,71.49,2.2633064723384857,0.6036860070387688,-0.24545741907958718,0.8738450200992224
PR Stirling,111.0,4038.0,37.04,87.27,0.6931496848234895,1.0286137922401009,0.8987111188489992,0.8734915319708632
ME Trescothick,122.0,4335.0,37.37,85.21,0.8097629796201771,1.0588349493772644,0.7493456443158629,0.8726478577711014
WJ Cronje,175.0,5565.0,38.64,76.47,1.2927069277680754,1.1751406147233188,0.1156299902286742,0.861159177573356
BRM Taylor,192.0,6293.0,35.55,76.22,1.5785469230946363,0.8921606888026039,0.09750311225135186,0.856070241382864
NJ Astle,217.0,7090.0,34.92,72.64,1.8914788960002258,0.8344657524498373,-0.16207378038390396,0.8546236226887197
KJ Coetzer,57.0,2409.0,43.8,86.18,0.053543431544687735,1.6476896172316962,0.8196779308678747,0.8403036598814194
IR Bell,157.0,5416.0,37.87,77.16,1.2342039616916225,1.1046245814032698,0.16566017344608372,0.8348295721803253
Younis Khan,255.0,7249.0,31.24,75.29,1.9539082356388564,0.4974540607384359,0.03007112617571328,0.827144474184335
Mohammad Hafeez,216.0,6614.0,32.9,76.61,1.7045835144405512,0.6494756390647745,0.12578104189597475,0.8266133984671001
