Player,Player,Date,Opponent,Event_Name,Event_Stage,Venue,Toss_Decision,Dismissal_Kind,Dismissed_By,Caught_By,Wicket_Kinds
A Bagai,A Bagai,2003-02-11,Bangladesh,ICC World Cup,,"Kingsmead, Durban",bat,bowled,Mashrafe Mortaza,,
A Bagai,A Bagai,2003-02-15,Kenya,ICC World Cup,,"Newlands, Cape Town",bat,caught,TM Odoyo,DO Obuya,
A Bagai,A Bagai,2003-02-19,Sri Lanka,ICC World Cup,,"Boland Bank Park, Paarl",field,caught,CRD Fernando,DPMD Jayawardene,
A Bagai,A Bagai,2003-02-23,West Indies,ICC World Cup,,"SuperSport Park, Centurion",field,run out,,,
A Bagai,A Bagai,2003-02-27,South Africa,ICC World Cup,,"Buffalo Park, East London",field,Not Out,,,
A Bagai,A Bagai,2003-03-03,New Zealand,ICC World Cup,,"Willowmoore Park, Benoni",field,bowled,JDP Oram,,
A Bagai,A Bagai,2006-11-27,Bermuda,ICC Tri-Series (in South Africa),,Sedgars Park,field,Not Out,,,
A Bagai,A Bagai,2006-11-30,Bermuda,ICC Tri-Series (in South Africa),,Willowmoore Park,field,caught,KAD Hurdle,H Durham,
A Bagai,A Bagai,2006-12-01,Netherlands,ICC Tri-Series (in South Africa),,Willowmoore Park,field,caught,TBM de Leede,DLS van Bunge,
A Bagai,A Bagai,2007-02-02,Bermuda,ICC World Cricket League Division One,,Gymkhana Club Ground,field,run out,,,
A Bagai,A Bagai,2007-02-05,Kenya,ICC World Cricket League Division One,,Jaffery Sports Club Ground,bat,caught,PJ Ongondo,RD Shah,
A Bagai,A Bagai,2007-03-18,England,ICC World Cup,,"Beausejour Stadium, Gros Islet",field,caught,LE Plunkett,KP Pietersen,
A Bagai,A Bagai,2007-03-22,New Zealand,ICC World Cup,,"Beausejour Stadium, Gros Islet",field,bowled,DL Vettori,,
A Bagai,A Bagai,2008-06-29,Bermuda,Bermuda in Canada ODI Series,,Maple Leaf North-West Ground,field,caught,RDM Leverock,RJ Trott,
A Bagai,A Bagai,2009-04-08,Scotland,ICC World Cup Qualifiers,,Willowmoore Park,field,caught,CS MacLeod,JH Stander,
A Bagai,A Bagai,2010-07-07,Ireland,ICC World Cricket League Division One,,VRA Ground,bat,caught,PR Stirling,AR White,
A Bagai,A Bagai,2010-09-06,Ireland,Ireland in Canada ODI Series,,"Toronto Cricket, Skating and Curling Club",bat,caught,DT Johnston,JF Mooney,
A Bagai,A Bagai,2011-02-20,Sri Lanka,ICC Cricket World Cup,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",bat,caught,NLTC Perera,KC Sangakkara,
A Bagai,A Bagai,2011-02-28,Zimbabwe,ICC Cricket World Cup,,"Vidarbha Cricket Association Stadium, Jamtha",bat,caught,RW Price,SC Williams,
A Bagai,A Bagai,2011-03-03,Pakistan,ICC Cricket World Cup,,R Premadasa Stadium,bat,lbw,Shahid Afridi,,
A Bagai,A Bagai,2011-03-07,Kenya,ICC Cricket World Cup,,Feroz Shah Kotla,bat,Not Out,,,
A Bagai,A Bagai,2011-03-13,New Zealand,ICC Cricket World Cup,,Wankhede Stadium,field,caught,NL McCullum,BB McCullum,
A Bagai,A Bagai,2011-03-16,Australia,ICC Cricket World Cup,,M Chinnaswamy Stadium,bat,caught,SW Tait,BJ Haddin,
A Bagai,A Bagai,2013-08-29,Netherlands,ICC World Cricket League Championship,,Maple Leaf North-West Ground,field,caught,T van der Gugten,W Barresi,
A Balbirnie,A Balbirnie,2010-07-07,Canada,ICC World Cricket League Division One,,VRA Ground,bat,caught,HS Baidwan,H Patel,
A Balbirnie,A Balbirnie,2014-09-08,Scotland,Scotland in Ireland ODI Series,,"The Village, Malahide",field,caught,RD Berrington,MH Cross,
A Balbirnie,A Balbirnie,2014-09-10,Scotland,Scotland in Ireland ODI Series,,"The Village, Malahide",field,caught,JH Davey,MH Cross,
A Balbirnie,A Balbirnie,2014-09-12,Scotland,Scotland in Ireland ODI Series,,"The Village, Malahide",field,lbw,SM Sharif,,caught
A Balbirnie,A Balbirnie,2015-01-12,Scotland,Dubai Triangular Series,,Dubai International Cricket Stadium,field,lbw,RM Haq,,
A Balbirnie,A Balbirnie,2015-02-16,West Indies,ICC Cricket World Cup,,Saxton Oval,field,caught,JE Taylor,DM Bravo,
A Balbirnie,A Balbirnie,2015-02-25,United Arab Emirates,ICC Cricket World Cup,,"Brisbane Cricket Ground, Woolloongabba",field,caught,Mohammad Naveed,Saqlain Haider,
A Balbirnie,A Balbirnie,2015-03-03,South Africa,ICC Cricket World Cup,,Manuka Oval,bat,caught,M Morkel,RR Rossouw,
A Balbirnie,A Balbirnie,2015-03-07,Zimbabwe,ICC Cricket World Cup,,Bellerive Oval,field,run out,,,
A Balbirnie,A Balbirnie,2015-03-10,India,ICC Cricket World Cup,,Seddon Park,bat,caught,R Ashwin,Mohammed Shami,
A Balbirnie,A Balbirnie,2015-03-15,Pakistan,ICC Cricket World Cup,,Adelaide Oval,bat,caught,Haris Sohail,Shahid Afridi,
A Balbirnie,A Balbirnie,2015-05-08,England,Bilateral Series,,"The Village, Malahide",field,caught,DJ Willey,JJ Roy,
A Balbirnie,A Balbirnie,2015-08-27,Australia,Bilateral Series,,"Civil Service Cricket Club, Stormont",bat,caught,PJ Cummins,NM Coulter-Nile,
A Balbirnie,A Balbirnie,2015-10-09,Zimbabwe,Ireland in Zimbabwe ODI Series,,Harare Sports Club,field,caught,LM Jongwe,WP Masakadza,
A Balbirnie,A Balbirnie,2015-10-11,Zimbabwe,Ireland in Zimbabwe ODI Series,,Harare Sports Club,field,run out,,,
A Balbirnie,A Balbirnie,2015-10-13,Zimbabwe,Ireland in Zimbabwe ODI Series,,Harare Sports Club,field,run out,,,
A Balbirnie,A Balbirnie,2017-03-02,United Arab Emirates,Ireland in United Arab Emirates ODI Series,,ICC Global Cricket Academy,field,lbw,Mohammad Naveed,,
A Balbirnie,A Balbirnie,2017-03-04,United Arab Emirates,Ireland in United Arab Emirates ODI Series,,ICC Global Cricket Academy,bat,Not Out,,,
A Balbirnie,A Balbirnie,2017-05-05,England,Ireland in England ODI Series,,County Ground,bat,caught,JT Ball,SW Billings,
A Balbirnie,A Balbirnie,2017-05-07,England,Ireland in England ODI Series,,Lord's,field,lbw,LE Plunkett,,
A Balbirnie,A Balbirnie,2017-05-14,New Zealand,Ireland Tri-Nation Series,,Malahide,field,caught and bowled,,,
A Balbirnie,A Balbirnie,2017-05-19,Bangladesh,Ireland Tri-Nation Series,,Malahide,field,bowled,Shakib Al Hasan,,
A Balbirnie,A Balbirnie,2017-05-21,New Zealand,Ireland Tri-Nation Series,,Malahide,field,caught,CJ Anderson,LRPL Taylor,
A Balbirnie,A Balbirnie,2018-01-11,United Arab Emirates,United Arab Emirates Tri-Nation Series,,ICC Academy,field,caught,Mohammad Naveed,Ghulam Shabber,
A Balbirnie,A Balbirnie,2018-01-13,United Arab Emirates,United Arab Emirates Tri-Nation Series,,ICC Academy,bat,caught,Qadeer Ahmed,Rohan Mustafa,
A Balbirnie,A Balbirnie,2018-01-16,Scotland,United Arab Emirates Tri-Nation Series,,ICC Academy,field,stumped,TB Sole,,
A Balbirnie,A Balbirnie,2018-01-18,Scotland,United Arab Emirates Tri-Nation Series,,ICC Academy,bat,caught,SG Whittingham,MRJ Watt,
A Balbirnie,A Balbirnie,2018-03-06,Papua New Guinea,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,bowled,CA Soper,,
A Balbirnie,A Balbirnie,2018-03-10,West Indies,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,caught,KAJ Roach,SD Hope,
A Balbirnie,A Balbirnie,2018-03-12,United Arab Emirates,ICC Cricket World Cup Qualifier (ICC Trophy),,Old Hararians,field,caught,Mohammad Naveed,Rohan Mustafa,
A Balbirnie,A Balbirnie,2018-03-16,Zimbabwe,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,caught,KM Jarvis,BRM Taylor,
A Balbirnie,A Balbirnie,2018-03-18,Scotland,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,lbw,MRJ Watt,,
A Balbirnie,A Balbirnie,2019-05-03,England,England tour of Ireland,,"The Village, Malahide",field,stumped,JL Denly,,
A Balbirnie,A Balbirnie,2019-05-05,West Indies,Ireland Tri-Nation Series,,Castle Avenue,field,caught,ST Gabriel,SW Ambris,
A Balbirnie,A Balbirnie,2019-05-11,West Indies,Ireland Tri-Nation Series,,"The Village, Malahide",bat,caught,JL Carter,JO Holder,
A Balbirnie,A Balbirnie,2019-05-15,Bangladesh,Ireland Tri-Nation Series,,Castle Avenue,bat,caught,Abu Jayed,Mushfiqur Rahim,
A Balbirnie,A Balbirnie,2019-07-01,Zimbabwe,Zimbabwe tour of Netherlands and Ireland,,"Bready Cricket Club, Magheramason",field,run out,,,
A Balbirnie,A Balbirnie,2019-07-04,Zimbabwe,Zimbabwe tour of Netherlands and Ireland,,"Civil Service Cricket Club, Stormont",field,caught,SF Mire,BRM Taylor,
