Player,Elo,Matches_Played
Q De Kock,1587.2938075457268,153
Babar Azam,1579.170123323462,122
Kc Sangakkara,1573.2689311793292,283
V Kohli,1569.7626128098905,288
Fakhar Zaman,1568.8365720814252,80
Imam-Ul-Haq,1565.641203628403,68
Lrpl Taylor,1564.9136583706463,209
S Dhawan,1564.5965141038946,163
Hm Amla,1563.115322121991,174
Kj Coetzer,1559.5135142918882,63
Misbah-Ul-Haq,1558.5132147751513,135
Jh Kallis,1558.12833473801,138
Rg Sharma,1557.9553911589069,262
Sd Hope,1557.7153613968042,126
Gc Smith,1556.7367013508665,153
Shakib Al Hasan,1556.3009507461286,210
Kp Pietersen,1555.185602394137,119
Ab De Villiers,1553.612196389879,213
Ks Williamson,1553.2363013073243,166
Gj Bailey,1550.8717264237905,83
S Chanderpaul,1550.1271848703805,108
Yasir Hameed,1548.60002749826,39
Jm Bairstow,1548.2512870886123,95
Jj Roy,1545.2553890652755,109
Haris Sohail,1544.3570080900797,42
Ml Hayden,1543.822048681229,96
Tamim Iqbal,1543.7814174723078,215
Hh Gibbs,1543.294857600929,102
Salman Butt,1542.6285610390275,63
Lmp Simmons,1542.617900933994,64
E Lewis,1542.207899601086,56
Bkg Mendis,1541.4976866172321,128
F Du Plessis,1539.6037357086345,135
Mj Guptill,1538.4910471331523,190
Wts Porterfield,1538.203487886243,89
Ijl Trott,1538.0901134068188,65
Sr Tendulkar,1537.5644154519257,143
Rt Ponting,1535.697819563055,189
Inzamam-Ul-Haq,1535.5965737794788,62
Ch Gayle,1534.6069649494748,199
Mn Samuels,1534.5940857900364,148
Sr Watson,1534.4758275551715,162
Sc Williams,1533.86204322236,130
Sikandar Raza,1533.8123596521295,122
Rr Rossouw,1533.77729897203,35
Md Gunathilaka,1532.9350405697917,45
Da Warner,1532.6253835805692,154
Brm Taylor,1532.2100690386371,160
T Taibu,1531.519706039335,100
Jd Ryder,1531.1070871942031,38
Se Marsh,1531.071725514588,71
Ir Bell,1530.9021215061296,152
Mohammad Yousuf,1530.4619834034547,76
Am Rahane,1530.0159404743567,86
Je Root,1529.6755939099805,169
Umar Akmal,1529.436144422626,108
V Sehwag,1529.2542700291515,165
Ms Dhoni,1528.8278023393502,281
Bc Lara,1528.627820064452,67
Ut Khawaja,1528.2612803726345,38
An Cook,1528.0830068253902,91
Ba Stokes,1527.7550519123197,108
Rn Ten Doeschate,1526.7883000536442,14
Sb Styris,1526.7027682387325,106
Hh Dippenaar,1526.6267405750484,36
Azhar Ali,1525.7633208022655,52
R Dravid,1525.515657376511,117
Imran Farhat,1525.3091531240527,44
Ad Hales,1525.158164276129,65
G Gambhir,1525.1448561674838,134
Da Miller,1524.8160695108645,150
Mj Clarke,1524.645911543601,204
N Dickwella,1524.2236301510704,52
Ja Rudolph,1524.147068107481,25
Imrul Kayes,1522.6998574053252,72
J Charles,1522.5616912971716,58
St Jayasuriya,1522.3098817241928,133
Ms Atapattu,1522.2794159188138,64
Mek Hussey,1522.1633968002893,149
Tm Head,1521.7119185140175,70
Nj Astle,1521.5782554668463,43
Ec Joyce,1521.4732335435765,60
A Balbirnie,1521.438382159015,83
Ejg Morgan,1521.2937920054733,215
Nasir Jamshed,1521.036719557312,48
Rd Berrington,1520.8293566435173,89
Ahmed Shehzad,1520.6098168002488,80
Sp Fleming,1520.296890513448,66
Pr Stirling,1520.1573524710545,110
A Flower,1520.111203788617,7
At Rayudu,1519.9334354312832,49
Anamul Haque,1518.8458809535937,44
Dpmd Jayawardene,1518.603480399354,263
Cs Macleod,1518.591820277291,62
Rs Morton,1518.5782011517717,41
Aj Finch,1518.4281716326705,139
Ka Pollard,1517.5750508762612,112
Shaiman Anwar,1517.2658068560092,30
So Hetmyer,1516.8904473023006,46
Tm Dilshan,1516.795774206788,267
Rr Sarwan,1516.1260402391338,114
H Masakadza,1515.666503302361,156
Sc Ganguly,1514.2748235924535,73
Jc Buttler,1514.22640272045,160
Hdrl Thirimanne,1514.1942678193943,102
A Flintoff,1513.9369059917537,80
Bb Mccullum,1513.5398655246745,186
Aa Obanda,1513.5047398144889,14
Rohan Mustafa,1513.0952356930159,75
Mushfiqur Rahim,1513.0383282515486,227
Saeed Anwar,1512.1682060902654,5
Dm Bravo,1512.1479121153225,113
Gw Flower,1512.0373618651872,22
Mr Marsh,1511.9133386174444,90
Pl Mommsen,1511.579975840025,19
V Sibanda,1511.3918944853046,98
Ww Hinds,1511.042945939406,38
Ac Gilchrist,1510.6251251257368,118
Wu Tharanga,1510.5390903818766,206
Aj Strauss,1510.3416392121508,112
Muhammad Usman,1509.9594801723156,34
R Powell,1509.7962146377922,45
Oa Shah,1509.6877866131335,53
Sm Katich,1509.586747804597,31
Mh Cross,1509.5011734661398,82
Jm How,1509.374314518644,33
A Bagai,1509.23353114955,24
Cr Ervine,1509.1813662597224,95
Sk Raina,1508.6805501836475,201
Ck Coventry,1508.5119408085664,24
Mohammad Hafeez,1508.4734063434692,203
Nj O'Brien,1507.6182433026656,63
Liton Das,1507.5191642241234,84
Mo Odumbe,1507.375664797772,10
Mn Waller,1507.3068477709755,52
Jp Duminy,1507.105065904363,186
C Kieswetter,1507.093464876136,38
Soumya Sarkar,1506.9708735904594,65
Kj O'Brien,1506.5875124001352,88
G Kirsten,1506.3953516441845,6
Ds Smith,1506.0452029044397,39
Cl Cairns,1505.938099946888,33
Rd Shah,1505.578031300756,14
Hh Streak,1505.573730766297,31
Vvs Laxman,1505.4111597242897,27
W Barresi,1505.39445307565,37
Pg Fulton,1505.3785536405212,43
Pa De Silva,1504.862714228562,13
Nt Broom,1504.781287129613,37
Ad Russell,1504.5540660652662,55
Mg Bevan,1504.4577828765375,25
Sf Mire,1504.4423133480043,35
Cj Chibhabha,1504.3788458657414,87
Saleem Elahi,1503.7989821457397,7
T Mishra,1503.7958770549194,15
Gj Maxwell,1503.6741711406594,138
Twm Latham,1503.6433123299726,142
Javed Omar,1503.1702455196842,20
Pw Borren,1502.9225138457168,18
Dls Van Bunge,1502.892902934943,13
Jm Davison,1502.5313968665805,16
Jm Kemp,1502.5282602683606,63
Yuvraj Singh,1502.326230299435,214
Me Trescothick,1502.0805368275817,61
C Munro,1502.076316424622,53
Da Marillier,1501.9038101245233,10
D Ganga,1501.8886698350643,7
Nasir Hossain,1501.837337829949,63
Ld Chandimal,1501.752256076583,137
Imran Nazir,1501.6457218726769,21
Hp Tillakaratne,1501.5717287140494,13
Nfi Mccallum,1501.5667601353402,10
Rr Watson,1501.232581194295,11
Mdkj Perera,1501.182883990835,107
Dm De Silva,1501.0152602095147,78
Fawad Alam,1500.9378598794885,37
Nv Knight,1500.5219956410194,11
Es Szwarczynski,1499.9733848026506,12
Mohammad Shahzad,1499.872004298438,3
Akram Khan,1499.851356157337,2
S Dhaniram,1499.8116988827562,11
Nd Mckenzie,1499.679782528555,7
Bj Haddin,1499.5964518155076,107
Younis Khan,1499.3918528183704,170
Ag Prince,1499.2590287086507,33
Pj Moor,1498.9474800588887,32
Mv Boucher,1498.896436364681,106
Asad Shafiq,1498.8576539380103,56
Kamran Akmal,1498.8573545526995,118
Spd Smith,1498.7185077064985,158
L Vincent,1498.6522948036975,45
Ad Mathews,1498.6071788191302,210
Cl Hooper,1498.318256602633,5
Jn Rhodes,1497.8672617754557,1
Adr Campbell,1497.7753444440345,1
Gd Elliott,1497.7574518668619,71
Nam Mclean,1497.7519178655666,1
Koa Powell,1497.7325499300377,41
Km Dabengwa,1497.732355755829,24
Ms Sinclair,1497.2921308281107,15
F Behardien,1497.0141693699359,54
Raqibul Hasan,1496.9213161105642,48
Cj Anderson,1496.7437330735943,47
Ma Vermeulen,1496.711684722579,29
Mushtaq Ahmed,1496.6920496494454,1
A Symonds,1496.506863379252,118
Cb Wishart,1496.4567940559605,15
