Player,Match_ID,Date,Opponent,Event_Name,Event_Stage,Player_of_Match,Runs_Scored,Balls_Faced,Fours,Sixes,Is_Dismissed,Balls_Bowled,Runs_Conceded,Wickets_Taken,Venue
Da Warner,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,7,19,1,0,0,0,0,0,"Brisbane Cricket Ground, Woolloongabba"
Mohammad Amir,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,8,10,0,0,0,63,54,0,"Brisbane Cricket Ground, Woolloongabba"
Tm Head,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,39,39,6,0,0,60,30,0,"Brisbane Cricket Ground, Woolloongabba"
Mohammad Hafeez,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,4,8,0,0,0,43,23,0,"Brisbane Cricket Ground, Woolloongabba"
Spd Smith,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,0,1,0,0,0,0,0,0,"Brisbane Cricket Ground, Woolloongabba"
Wahab Riaz,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,6,8,0,0,0,40,42,0,"Brisbane Cricket Ground, Woolloongabba"
Imad Wasim,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,29,36,1,1,0,60,36,0,"Brisbane Cricket Ground, Woolloongabba"
Mr Marsh,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,4,17,0,0,0,36,27,0,"Brisbane Cricket Ground, Woolloongabba"
Gj Maxwell,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,60,58,7,0,0,0,0,0,"Brisbane Cricket Ground, Woolloongabba"
Ms Wade,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,1,100,102,7,2,0,0,0,0,"Brisbane Cricket Ground, Woolloongabba"
Jp Faulkner,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,5,13,0,0,0,42,34,0,"Brisbane Cricket Ground, Woolloongabba"
Pj Cummins,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,15,33,0,0,0,54,33,0,"Brisbane Cricket Ground, Woolloongabba"
Ma Starc,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,10,8,0,1,0,50,38,0,"Brisbane Cricket Ground, Woolloongabba"
Azhar Ali,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,24,50,0,0,0,0,0,0,"Brisbane Cricket Ground, Woolloongabba"
Babar Azam,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,33,46,3,0,0,0,0,0,"Brisbane Cricket Ground, Woolloongabba"
Umar Akmal,1000887,2017-01-13,Australia,Pakistan in Australia ODI Series,N/A,0,17,25,3,0,0,0,0,0,"Brisbane Cricket Ground, Woolloongabba"
Ut Khawaja,1000889,2017-01-15,Australia,Pakistan in Australia ODI Series,N/A,0,17,21,1,0,0,0,0,0,Melbourne Cricket Ground
Mohammad Amir,1000889,2017-01-15,Australia,Pakistan in Australia ODI Series,N/A,0,0,0,0,0,0,57,48,0,Melbourne Cricket Ground
