Player,Match_ID,Date,Opponent,Event_Name,Event_Stage,Player_of_Match,Runs_Scored,Balls_Faced,Dismissal_Kind,Fours,Sixes,Is_Dismissed,Balls_Bowled,Runs_Conceded,Wickets_Taken
A Bagai,65239,2003-02-11,Canada,ICC World Cup,N/A,0,7,25,Not Out,0,0,0,0,0,0
A Bagai,65245,2003-02-15,Canada,ICC World Cup,N/A,0,12,15,Not Out,1,0,0,0,0,0
A Bagai,65251,2003-02-19,Canada,ICC World Cup,N/A,0,6,25,Not Out,0,0,0,0,0,0
A Bagai,65256,2003-02-23,Canada,ICC World Cup,N/A,0,2,9,Not Out,0,0,0,0,0,0
A Bagai,65264,2003-02-27,South Africa,ICC World Cup,N/A,0,28,37,Not Out,4,0,0,0,0,0
A Bagai,65270,2003-03-03,Canada,ICC World Cup,N/A,0,1,2,Not Out,0,0,0,0,0,0
A Bagai,259384,2006-11-27,Bermuda,ICC Tri-Series (in South Africa),N/A,0,58,98,Not Out,2,0,0,0,0,0
A Bagai,259390,2006-11-30,Bermuda,ICC Tri-Series (in South Africa),N/A,0,17,27,Not Out,2,0,0,0,0,0
A Bagai,259391,2006-12-01,Canada,ICC Tri-Series (in South Africa),N/A,0,23,51,Not Out,3,0,0,0,0,0
A Bagai,267386,2007-02-02,Canada,ICC World Cricket League Division One,N/A,0,7,6,Not Out,1,0,0,0,0,0
A Bagai,267391,2007-02-05,Kenya,ICC World Cricket League Division One,N/A,0,5,5,Not Out,1,0,0,0,0,0
A Bagai,247467,2007-03-18,England,ICC World Cup,N/A,0,6,11,Not Out,1,0,0,0,0,0
A Bagai,247475,2007-03-22,New Zealand,ICC World Cup,N/A,0,37,66,Not Out,3,0,0,0,0,0
A Bagai,325569,2008-06-29,Bermuda,Bermuda in Canada ODI Series,N/A,0,5,19,Not Out,1,0,0,0,0,0
A Bagai,390227,2009-04-08,Canada,ICC World Cup Qualifiers,N/A,1,87,125,Not Out,8,1,0,0,0,0
A Bagai,450379,2010-07-07,Canada,ICC World Cricket League Division One,N/A,0,21,41,Not Out,0,0,0,0,0,0
A Bagai,464723,2010-09-06,Ireland,Ireland in Canada ODI Series,N/A,0,64,88,Not Out,9,0,0,0,0,0
A Bagai,433560,2011-02-20,Sri Lanka,ICC Cricket World Cup,N/A,0,22,49,Not Out,2,0,0,0,0,0
A Bagai,433570,2011-02-28,Zimbabwe,ICC Cricket World Cup,N/A,0,0,1,Not Out,0,0,0,0,0,0
A Bagai,433574,2011-03-03,Pakistan,ICC Cricket World Cup,N/A,0,16,35,Not Out,2,0,0,0,0,0
A Bagai,433580,2011-03-07,Kenya,ICC Cricket World Cup,N/A,0,64,99,Not Out,7,0,0,0,0,0
A Bagai,433587,2011-03-13,New Zealand,ICC Cricket World Cup,N/A,0,84,87,Not Out,10,0,0,0,0,0
A Bagai,433592,2011-03-16,Canada,ICC Cricket World Cup,N/A,0,39,57,Not Out,6,0,0,0,0,0
A Bagai,660827,2013-08-29,Canada,ICC World Cricket League Championship,N/A,0,3,17,Not Out,0,0,0,0,0,0
A Balbirnie,450379,2010-07-07,Canada,ICC World Cricket League Division One,N/A,0,17,33,Not Out,1,0,0,0,0,0
A Balbirnie,727935,2014-09-08,Scotland,Scotland in Ireland ODI Series,N/A,0,38,83,Not Out,3,0,0,0,0,0
A Balbirnie,727937,2014-09-10,Scotland,Scotland in Ireland ODI Series,N/A,0,16,24,Not Out,2,0,0,0,0,0
A Balbirnie,727939,2014-09-12,Ireland,Scotland in Ireland ODI Series,N/A,0,6,32,Not Out,1,0,0,24,31,0
A Balbirnie,810829,2015-01-12,Scotland,Dubai Triangular Series,N/A,0,20,24,Not Out,3,0,0,0,0,0
A Balbirnie,656407,2015-02-16,West Indies,ICC Cricket World Cup,N/A,0,9,10,Not Out,2,0,0,0,0,0
A Balbirnie,656429,2015-02-25,United Arab Emirates,ICC Cricket World Cup,N/A,0,30,41,Not Out,1,0,0,0,0,0
A Balbirnie,656445,2015-03-03,South Africa,ICC Cricket World Cup,N/A,0,58,72,Not Out,7,0,0,0,0,0
A Balbirnie,656457,2015-03-07,Ireland,ICC Cricket World Cup,N/A,0,97,82,Not Out,7,4,0,0,0,0
A Balbirnie,656465,2015-03-10,Ireland,ICC Cricket World Cup,N/A,0,24,25,Not Out,3,0,0,0,0,0
A Balbirnie,656481,2015-03-15,Ireland,ICC Cricket World Cup,N/A,0,18,36,Not Out,0,0,0,0,0,0
A Balbirnie,760889,2015-05-08,England,Bilateral Series,N/A,0,5,19,Not Out,1,0,0,0,0,0
A Balbirnie,743973,2015-08-27,Australia,Bilateral Series,N/A,0,12,12,Not Out,1,0,0,0,0,0
A Balbirnie,919613,2015-10-09,Ireland,Ireland in Zimbabwe ODI Series,N/A,0,5,25,Not Out,0,0,0,0,0,0
A Balbirnie,919615,2015-10-11,Ireland,Ireland in Zimbabwe ODI Series,N/A,0,12,13,Not Out,1,0,0,0,0,0
A Balbirnie,919617,2015-10-13,Zimbabwe,Ireland in Zimbabwe ODI Series,N/A,0,24,44,Not Out,2,0,0,0,0,0
A Balbirnie,1080630,2017-03-02,Ireland,Ireland in United Arab Emirates ODI Series,N/A,0,4,6,Not Out,1,0,0,0,0,0
A Balbirnie,1080631,2017-03-04,United Arab Emirates,Ireland in United Arab Emirates ODI Series,N/A,0,58,68,Not Out,7,0,0,0,0,0
A Balbirnie,1029001,2017-05-05,Ireland,Ireland in England ODI Series,N/A,0,30,38,Not Out,4,0,0,0,0,0
A Balbirnie,1029003,2017-05-07,England,Ireland in England ODI Series,N/A,0,2,9,Not Out,0,0,0,0,0,0
A Balbirnie,1033363,2017-05-14,New Zealand,Ireland Tri-Nation Series,N/A,0,36,53,Not Out,5,0,0,0,0,0
A Balbirnie,1033367,2017-05-19,Ireland,Ireland Tri-Nation Series,N/A,0,12,24,Not Out,0,1,0,0,0,0
A Balbirnie,1033369,2017-05-21,New Zealand,Ireland Tri-Nation Series,N/A,0,0,5,Not Out,0,0,0,0,0,0
A Balbirnie,1131274,2018-01-11,United Arab Emirates,United Arab Emirates Tri-Nation Series,N/A,0,0,9,Not Out,0,0,0,0,0,0
A Balbirnie,1131275,2018-01-13,Ireland,United Arab Emirates Tri-Nation Series,N/A,0,102,111,Not Out,12,1,0,0,0,0
A Balbirnie,1131276,2018-01-16,Scotland,United Arab Emirates Tri-Nation Series,N/A,1,67,58,Not Out,10,1,0,0,0,0
A Balbirnie,1131277,2018-01-18,Ireland,United Arab Emirates Tri-Nation Series,N/A,0,47,62,Not Out,4,0,0,0,0,0
A Balbirnie,1133002,2018-03-06,Papua New Guinea,ICC Cricket World Cup Qualifier (ICC Trophy),N/A,0,7,25,Not Out,0,0,0,0,0,0
A Balbirnie,1133010,2018-03-10,West Indies,ICC Cricket World Cup Qualifier (ICC Trophy),N/A,0,9,27,Not Out,0,0,0,0,0,0
A Balbirnie,1133015,2018-03-12,Ireland,ICC Cricket World Cup Qualifier (ICC Trophy),N/A,0,7,4,Not Out,1,0,0,0,0,0
A Balbirnie,1133022,2018-03-16,Zimbabwe,ICC Cricket World Cup Qualifier (ICC Trophy),N/A,0,2,14,Not Out,0,0,0,0,0,0
A Balbirnie,1133025,2018-03-18,Ireland,ICC Cricket World Cup Qualifier (ICC Trophy),N/A,1,105,150,Not Out,10,0,0,0,0,0
A Balbirnie,1161014,2019-05-03,Ireland,England tour of Ireland,N/A,0,29,47,Not Out,1,1,0,0,0,0
A Balbirnie,1168508,2019-05-05,West Indies,Ireland Tri-Nation Series,N/A,0,29,36,Not Out,3,1,0,0,0,0
A Balbirnie,1168511,2019-05-11,Ireland,Ireland Tri-Nation Series,N/A,0,135,125,Not Out,11,4,0,0,0,0
A Balbirnie,1168513,2019-05-15,Ireland,Ireland Tri-Nation Series,N/A,0,20,21,Not Out,4,0,0,0,0,0
A Balbirnie,1168517,2019-07-01,Zimbabwe,Zimbabwe tour of Netherlands and Ireland,N/A,0,101,114,Not Out,9,2,0,0,0,0
A Balbirnie,1168518,2019-07-04,Ireland,Zimbabwe tour of Netherlands and Ireland,N/A,0,9,18,Not Out,0,0,0,0,0,0
A Balbirnie,1168519,2019-07-07,Zimbabwe,Zimbabwe tour of Netherlands and Ireland,N/A,0,5,9,Not Out,1,0,0,0,0,0
A Balbirnie,1203673,2020-01-07,Ireland,Ireland tour of West Indies,N/A,0,16,13,Not Out,2,1,0,0,0,0
A Balbirnie,1203674,2020-01-09,Ireland,Ireland tour of West Indies,N/A,0,10,11,Not Out,2,0,0,0,0,0
A Balbirnie,1203675,2020-01-12,Ireland,Ireland tour of West Indies,N/A,0,71,93,Not Out,6,2,0,0,0,0
A Balbirnie,1198247,2020-07-30,Ireland,Ireland tour of England,N/A,0,3,7,Not Out,0,0,0,0,0,0
A Balbirnie,1198248,2020-08-01,Ireland,Ireland tour of England,N/A,0,15,29,Not Out,2,0,0,0,0,0
A Balbirnie,1198249,2020-08-04,England,Ireland tour of England,N/A,0,113,112,Not Out,12,0,0,0,0,0
A Balbirnie,1244524,2021-01-08,Ireland,Ireland tour of United Arab Emirates,N/A,0,53,61,Not Out,5,0,0,0,0,0
A Balbirnie,1244525,2021-01-18,Ireland,Ireland tour of United Arab Emirates,N/A,0,3,12,Not Out,0,0,0,0,0,0
A Balbirnie,1251962,2021-06-02,Netherlands,Ireland tour of Netherlands,N/A,0,4,3,Not Out,1,0,0,0,0,0
A Balbirnie,1251963,2021-06-04,Netherlands,Ireland tour of Netherlands,N/A,0,63,133,Not Out,6,0,0,0,0,0
A Balbirnie,1251964,2021-06-07,Ireland,Ireland tour of Netherlands,N/A,0,13,30,Not Out,1,0,0,0,0,0
A Balbirnie,1251950,2021-07-11,South Africa,South Africa tour of Ireland,N/A,0,65,81,Not Out,6,0,0,0,0,0
A Balbirnie,1251951,2021-07-13,Ireland,South Africa tour of Ireland,N/A,1,102,118,Not Out,10,2,0,0,0,0
A Balbirnie,1251952,2021-07-16,South Africa,South Africa tour of Ireland,N/A,0,7,14,Not Out,1,0,0,0,0,0
A Balbirnie,1272379,2021-09-08,Zimbabwe,Zimbabwe tour of Ireland and Scotland,N/A,0,12,20,Not Out,1,0,0,0,0,0
A Balbirnie,1272380,2021-09-10,Zimbabwe,Zimbabwe tour of Ireland and Scotland,N/A,0,40,44,Not Out,3,1,0,0,0,0
A Balbirnie,1272381,2021-09-13,Zimbabwe,Zimbabwe tour of Ireland and Scotland,N/A,0,34,43,Not Out,5,0,0,0,0,0
A Balbirnie,1277085,2022-01-08,West Indies,Ireland tour of United States of America and West Indies,N/A,0,71,95,Not Out,7,1,0,0,0,0
A Balbirnie,1303309,2022-07-10,Ireland,New Zealand tour of Ireland,N/A,0,9,10,Not Out,1,0,0,0,0,0
A Balbirnie,1303310,2022-07-12,Ireland,New Zealand tour of Ireland,N/A,0,2,12,Not Out,0,0,0,0,0,0
A Balbirnie,1303311,2022-07-15,New Zealand,New Zealand tour of Ireland,N/A,0,0,6,Not Out,0,0,0,0,0,0
A Balbirnie,1348326,2023-01-18,Ireland,Ireland tour of Zimbabwe,N/A,0,121,139,Not Out,13,3,0,0,0,0
A Balbirnie,1355717,2023-03-18,Bangladesh,Ireland tour of Bangladesh,N/A,0,5,12,Not Out,0,0,0,0,0,0
A Balbirnie,1355719,2023-03-23,Ireland,Ireland tour of Bangladesh,N/A,0,6,19,Not Out,1,0,0,0,0,0
A Balbirnie,1364124,2023-05-09,Bangladesh,Ireland v Bangladesh,N/A,0,5,9,Not Out,1,0,0,0,0,0
A Balbirnie,1364125,2023-05-12,Ireland,ICC Men's Cricket World Cup Super League,N/A,0,42,57,Not Out,5,0,0,0,0,0
A Balbirnie,1365552,2023-05-14,Bangladesh,ICC Men's Cricket World Cup Super League,N/A,0,53,79,Not Out,6,0,0,0,0,0
A Balbirnie,1377749,2023-06-19,Ireland,ICC Cricket World Cup Qualifier,N/A,0,7,19,Not Out,0,0,0,0,0,0
A Balbirnie,1377752,2023-06-21,Ireland,ICC Cricket World Cup Qualifier,N/A,0,0,1,Not Out,0,0,0,0,0,0
A Balbirnie,1377760,2023-06-25,Sri Lanka,ICC Cricket World Cup Qualifier,N/A,0,12,13,Not Out,2,0,0,0,0,0
A Balbirnie,1377765,2023-06-27,Ireland,ICC Cricket World Cup Qualifier,N/A,0,66,88,Not Out,5,1,0,0,0,0
A Balbirnie,1377768,2023-06-30,United States of America,ICC Cricket World Cup Qualifier,7th Place Play-Off,0,45,58,Not Out,5,0,0,0,0,0
A Balbirnie,1377774,2023-07-04,Nepal,ICC Cricket World Cup Qualifier,7th Place Play-Off,0,1,6,Not Out,0,0,0,0,0,0
A Balbirnie,1336129,2023-09-23,England,Ireland tour of England,N/A,0,14,14,Not Out,2,0,0,0,0,0
A Balbirnie,1408107,2023-12-15,Zimbabwe,Ireland tour of Zimbabwe,N/A,0,0,1,Not Out,0,0,0,0,0,0
A Balbirnie,1408108,2023-12-17,Zimbabwe,Ireland tour of Zimbabwe,N/A,1,82,102,Not Out,4,1,0,0,0,0
A Balbirnie,1431088,2024-10-02,South Africa,Ireland vs South Africa,N/A,0,20,31,Not Out,2,1,0,0,0,0
A Balbirnie,1431089,2024-10-04,South Africa,Ireland vs South Africa,N/A,0,1,7,Not Out,0,0,0,0,0,0
A Balbirnie,1431090,2024-10-07,Ireland,Ireland vs South Africa,N/A,0,45,75,Not Out,4,1,0,0,0,0
A Balbirnie,1467701,2025-02-14,Zimbabwe,Ireland tour of Zimbabwe,N/A,0,0,1,Not Out,0,0,0,0,0,0
A Balbirnie,1467702,2025-02-16,Zimbabwe,Ireland tour of Zimbabwe,N/A,0,11,20,Not Out,2,0,0,0,0,0
A Balbirnie,1467703,2025-02-18,Ireland,Ireland tour of Zimbabwe,N/A,0,64,100,Not Out,4,1,0,0,0,0
A Balbirnie,1472511,2025-05-21,Ireland,West Indies tour of Ireland,N/A,1,112,142,Not Out,9,4,0,0,0,0
A Balbirnie,1472513,2025-05-25,West Indies,West Indies tour of Ireland,N/A,0,3,9,Not Out,0,0,0,0,0,0
A Flintoff,65642,2003-01-25,Australia,VB Series,Final,0,16,18,Not Out,2,0,0,60,56,0
A Flintoff,65246,2003-02-16,Netherlands,ICC World Cup,N/A,0,0,2,Not Out,0,0,0,61,32,0
A Flintoff,65252,2003-02-19,England,ICC World Cup,N/A,0,21,24,Not Out,0,2,0,61,34,0
A Flintoff,65255,2003-02-22,England,ICC World Cup,N/A,0,26,38,Not Out,3,0,0,58,39,0
A Flintoff,65262,2003-02-26,India,ICC World Cup,N/A,0,64,74,Not Out,5,3,0,61,18,0
A Flintoff,65269,2003-03-02,England,ICC World Cup,N/A,0,45,81,Not Out,3,1,0,59,26,0
A Flintoff,65029,2003-06-17,England,Pakistan tour of England and Scotland,N/A,0,39,56,Not Out,4,0,0,60,25,0
A Flintoff,65030,2003-06-20,Pakistan,Pakistan tour of England and Scotland,N/A,0,26,13,Not Out,6,0,0,49,36,0
A Flintoff,65031,2003-06-22,Pakistan,Pakistan tour of England and Scotland,N/A,0,4,13,Not Out,0,0,0,60,39,0
A Flintoff,66293,2003-06-26,England,NatWest Series,N/A,0,53,93,Not Out,6,0,0,61,24,0
A Flintoff,66294,2003-06-28,South Africa,NatWest Series,N/A,0,32,22,Not Out,3,2,0,60,47,0
A Flintoff,66296,2003-07-01,Zimbabwe,NatWest Series,N/A,0,6,12,Not Out,0,0,0,0,0,0
A Flintoff,66297,2003-07-03,England,NatWest Series,N/A,0,12,27,Not Out,1,0,0,59,36,0
A Flintoff,66299,2003-07-06,Zimbabwe,NatWest Series,N/A,1,47,39,Not Out,7,2,0,17,13,0
A Flintoff,66302,2003-07-12,South Africa,NatWest Series,Final,0,6,14,Not Out,0,0,0,38,18,0
A Flintoff,64843,2003-11-07,Bangladesh,England tour of Bangladesh,N/A,1,55,52,Not Out,9,2,0,59,28,0
A Flintoff,64844,2003-11-10,Bangladesh,England tour of Bangladesh,N/A,1,70,48,Not Out,9,4,0,62,18,0
A Flintoff,64845,2003-11-12,Bangladesh,England tour of Bangladesh,N/A,1,52,41,Not Out,4,4,0,61,33,0
A Flintoff,64846,2003-11-18,England,England tour of Sri Lanka,N/A,0,3,7,Not Out,0,0,0,25,27,0
A Flintoff,64889,2004-04-24,England,England tour of West Indies,N/A,0,0,0,Not Out,0,0,0,6,2,0
A Flintoff,64894,2004-05-02,England,England tour of West Indies,N/A,0,43,48,Not Out,2,1,0,55,55,0
A Flintoff,66306,2004-07-01,West Indies,NatWest Series,N/A,0,21,18,Not Out,3,1,0,0,0,0
A Flintoff,66309,2004-07-06,England,NatWest Series,N/A,0,123,106,Not Out,8,7,0,0,0,0
A Flintoff,65032,2004-09-01,India,India tour of England,N/A,0,34,23,Not Out,1,3,0,49,28,0
A Flintoff,65033,2004-09-03,England,India tour of England,N/A,1,99,94,Not Out,9,4,0,47,31,0
A Flintoff,66196,2004-09-10,England,ICC Champions Trophy,N/A,0,6,8,Not Out,1,0,0,37,11,0
A Flintoff,66205,2004-09-17,England,ICC Champions Trophy,N/A,1,104,92,Not Out,9,3,0,32,21,0
A Flintoff,66208,2004-09-21,Australia,ICC Champions Trophy,Semi Final,0,16,9,Not Out,1,1,0,61,59,0
A Flintoff,66210,2004-09-25,England,ICC Champions Trophy,Final,0,3,6,Not Out,0,0,0,66,39,0
A Flintoff,211244,2005-06-16,Bangladesh,NatWest Challenge,N/A,0,0,0,Not Out,0,0,0,55,46,0
A Flintoff,211678,2005-06-23,Australia,NatWest Challenge,N/A,0,44,62,Not Out,6,0,0,63,57,0
A Flintoff,211860,2005-06-26,Bangladesh,NatWest Challenge,N/A,0,22,29,Not Out,3,0,0,55,29,0
A Flintoff,212020,2005-06-28,Australia,NatWest Challenge,N/A,0,0,0,Not Out,0,0,0,60,39,0
A Flintoff,212452,2005-07-02,Australia,NatWest Challenge,Final,0,8,9,Not Out,2,0,0,50,28,0
A Flintoff,213288,2005-07-12,England,Australia tour of England and Scotland,N/A,0,5,16,Not Out,0,0,0,54,34,0
A Flintoff,221083,2005-10-07,Australia,ICC World XI tour of Australia,N/A,0,42,52,Not Out,3,0,0,50,64,0
A Flintoff,221337,2005-10-09,Australia,ICC World XI tour of Australia,N/A,0,21,26,Not Out,4,0,0,26,27,0
A Flintoff,226352,2005-12-10,England,England tour of Pakistan,N/A,0,72,65,Not Out,5,3,0,56,73,0
A Flintoff,226354,2005-12-15,Pakistan,England tour of Pakistan,N/A,0,36,41,Not Out,7,0,0,61,57,0
A Flintoff,226356,2005-12-21,England,England tour of Pakistan,N/A,0,39,75,Not Out,3,1,0,0,0,0
A Flintoff,238188,2006-03-28,India,England in India ODI Series,N/A,0,41,37,Not Out,4,2,0,52,31,0
A Flintoff,238189,2006-03-31,England,England in India ODI Series,N/A,0,5,14,Not Out,0,0,0,63,31,0
A Flintoff,238190,2006-04-03,India,England in India ODI Series,N/A,0,15,30,Not Out,2,0,0,59,56,0
A Flintoff,249745,2006-10-15,England,ICC Champions Trophy,N/A,0,0,7,Not Out,0,0,0,0,0,0
A Flintoff,249750,2006-10-21,England,ICC Champions Trophy,N/A,0,4,15,Not Out,0,0,0,0,0,0
A Flintoff,249755,2006-10-28,West Indies,ICC Champions Trophy,N/A,0,25,28,Not Out,4,0,0,31,28,0
A Flintoff,249232,2007-01-12,England,Commonwealth Bank Series,N/A,0,47,39,Not Out,5,0,0,39,48,0
A Flintoff,249236,2007-01-16,New Zealand,Commonwealth Bank Series,N/A,1,72,75,Not Out,7,0,0,62,41,0
A Flintoff,249233,2007-01-19,England,Commonwealth Bank Series,N/A,0,27,39,Not Out,3,0,0,60,47,0
A Flintoff,249237,2007-01-23,New Zealand,Commonwealth Bank Series,N/A,0,9,17,Not Out,0,0,0,61,23,0
A Flintoff,249234,2007-01-26,England,Commonwealth Bank Series,N/A,0,16,28,Not Out,1,0,0,18,4,0
A Flintoff,249238,2007-01-30,New Zealand,Commonwealth Bank Series,N/A,0,13,22,Not Out,0,0,0,62,67,0
A Flintoff,249235,2007-02-02,England,Commonwealth Bank Series,N/A,0,3,10,Not Out,0,0,0,49,48,0
A Flintoff,249239,2007-02-06,England,Commonwealth Bank Series,N/A,0,17,15,Not Out,2,0,0,61,37,0
A Flintoff,249240,2007-02-09,Australia,Commonwealth Bank Series,Final,0,35,36,Not Out,0,1,0,59,41,0
A Flintoff,249241,2007-02-11,England,Commonwealth Bank Series,Final,0,42,50,Not Out,3,0,0,31,11,0
A Flintoff,247463,2007-03-16,England,ICC World Cup,N/A,0,0,1,Not Out,0,0,0,50,23,0
A Flintoff,247479,2007-03-24,Kenya,ICC World Cup,N/A,0,0,0,Not Out,0,0,0,58,36,0
A Flintoff,247484,2007-03-30,England,ICC World Cup,N/A,0,43,64,Not Out,4,0,0,53,44,0
A Flintoff,247489,2007-04-04,Sri Lanka,ICC World Cup,N/A,0,2,7,Not Out,0,0,0,61,37,0
A Flintoff,247491,2007-04-08,England,ICC World Cup,N/A,0,4,20,Not Out,0,0,0,60,37,0
A Flintoff,247494,2007-04-11,Bangladesh,ICC World Cup,N/A,0,23,23,Not Out,3,1,0,54,38,0
A Flintoff,247500,2007-04-17,England,ICC World Cup,N/A,0,5,11,Not Out,0,0,0,38,40,0
